contract,MP,GM1,GM2,GM1%,GM2%,SPC_A,SPC_B,SPC_C,SPC_D,
NCL2015-0075,5420230.77,272105.04,272105.04,0.0502,0.0502,25849.98,27210.50,24489.45,27210.50,
NCL2015-0075,5426058.98,277933.25,277933.25,0.0512,0.0512,26403.66,27793.32,25013.99,27793.32,
NCL2015-0075,5431887.18,283761.45,283761.45,0.0522,0.0522,26957.34,28376.15,25538.53,28376.15,
NCL2015-0075,5437715.39,289589.66,289589.66,0.0533,0.0533,27511.02,28958.97,26063.07,28958.97,
NCL2015-0075,5443543.59,295417.86,295417.86,0.0543,0.0543,28064.70,29541.79,26587.61,29541.79,
NCL2015-0075,5449371.80,301246.07,301246.07,0.0553,0.0553,28618.38,30124.61,27112.15,30124.61,
NCL2015-0075,5455200.00,307074.27,307074.27,0.0563,0.0563,29172.06,30707.43,27636.68,30707.43,
NCL2015-0075,5461028.21,312902.48,312902.48,0.0573,0.0573,29725.74,31290.25,28161.22,31290.25,
NCL2015-0075,5466856.41,318730.68,318730.68,0.0583,0.0583,30279.41,31873.07,28685.76,31873.07,
NCL2015-0075,5472684.62,324558.89,324558.89,0.0593,0.0593,30833.09,32455.89,29210.30,32455.89,
NCL2015-0075,5478512.82,330387.09,330387.09,0.0603,0.0603,31386.77,33038.71,29734.84,33038.71,
NCL2015-0075,5484341.03,336215.30,336215.30,0.0613,0.0613,31940.45,33621.53,30259.38,33621.53,
NCL2015-0075,5490169.23,342043.50,342043.50,0.0623,0.0623,32494.13,34204.35,30783.92,34204.35,
NCL2015-0075,5495997.44,347871.71,347871.71,0.0633,0.0633,33047.81,34787.17,31308.45,34787.17,
NCL2015-0075,5501825.64,353699.91,353699.91,0.0643,0.0643,33601.49,35369.99,31832.99,35369.99,
NCL2015-0075,5507653.85,359528.12,359528.12,0.0653,0.0653,34155.17,35952.81,32357.53,35952.81,
NCL2015-0075,5513482.05,365356.32,365356.32,0.0663,0.0663,34708.85,36535.63,32882.07,36535.63,
NCL2015-0075,5519310.26,371184.53,371184.53,0.0673,0.0673,35262.53,37118.45,33406.61,37118.45,
NCL2015-0075,5525138.46,377012.73,377012.73,0.0682,0.0682,35816.21,37701.27,33931.15,37701.27,
NCL2015-0075,5530966.67,382840.94,382840.94,0.0692,0.0692,36369.89,38284.09,34455.68,38284.09,
NCL2015-0075,5536794.87,388669.14,388669.14,0.0702,0.0702,36923.57,38866.91,34980.22,38866.91,
NCL2015-0075,5542623.08,394497.35,394497.35,0.0712,0.0712,37477.25,39449.73,35504.76,39449.73,
NCL2015-0075,5548451.28,400325.55,400325.55,0.0722,0.0722,38030.93,40032.56,36029.30,40032.56,
NCL2015-0075,5554279.49,406153.76,406153.76,0.0731,0.0731,38584.61,40615.38,36553.84,40615.38,
NCL2015-0075,5560107.69,411981.96,411981.96,0.0741,0.0741,39138.29,41198.20,37078.38,41198.20,
NCL2015-0075,5565935.90,417810.17,417810.17,0.0751,0.0751,39691.97,41781.02,37602.92,41781.02,
NCL2015-0075,5571764.10,423638.37,423638.37,0.0760,0.0760,40245.65,42363.84,38127.45,42363.84,
NCL2015-0075,5577592.31,429466.58,429466.58,0.0770,0.0770,40799.33,42946.66,38651.99,42946.66,
NCL2015-0075,5583420.51,435294.78,435294.78,0.0780,0.0780,41353.00,43529.48,39176.53,43529.48,
NCL2015-0075,5589248.72,441122.99,441122.99,0.0789,0.0789,41906.68,44112.30,39701.07,44112.30,
NCL2015-0075,5595076.92,446951.19,446951.19,0.0799,0.0799,42460.36,44695.12,40225.61,44695.12,
NCL2015-0075,5600905.13,452779.40,452779.40,0.0808,0.0808,49805.73,52069.63,47541.84,52069.63,
NCL2015-0075,5606733.34,458607.61,458607.61,0.0818,0.0818,50446.84,52739.87,48153.80,52739.87,
NCL2015-0075,5612561.54,464435.81,464435.81,0.0827,0.0827,51087.94,53410.12,48765.76,53410.12,
NCL2015-0075,5618389.75,470264.02,470264.02,0.0837,0.0837,51729.04,54080.36,49377.72,54080.36,
NCL2015-0075,5624217.95,476092.22,476092.22,0.0847,0.0847,52370.14,54750.61,49989.68,54750.61,
NCL2015-0075,5630046.16,481920.43,481920.43,0.0856,0.0856,53011.25,55420.85,50601.64,55420.85,
NCL2015-0075,5635874.36,487748.63,487748.63,0.0865,0.0865,53652.35,56091.09,51213.61,56091.09,
NCL2015-0075,5641702.57,493576.84,493576.84,0.0875,0.0875,54293.45,56761.34,51825.57,56761.34,
NCL2015-0075,5647530.77,499405.04,499405.04,0.0884,0.0884,54934.55,57431.58,52437.53,57431.58,
NCL2015-0075,5653358.98,505233.25,505233.25,0.0894,0.0894,55575.66,58101.82,53049.49,58101.82,
NCL2015-0075,5659187.18,511061.45,511061.45,0.0903,0.0903,56216.76,58772.07,53661.45,58772.07,
NCL2015-0075,5665015.39,516889.66,516889.66,0.0912,0.0912,56857.86,59442.31,54273.41,59442.31,
NCL2015-0075,5670843.59,522717.86,522717.86,0.0922,0.0922,57498.96,60112.55,54885.38,60112.55,
NCL2015-0075,5676671.80,528546.07,528546.07,0.0931,0.0931,58140.07,60782.80,55497.34,60782.80,
NCL2015-0075,5682500.00,534374.27,534374.27,0.0940,0.0940,58781.17,61453.04,56109.30,61453.04,
NCL2015-0075,5688328.21,540202.48,540202.48,0.0950,0.0950,59422.27,62123.28,56721.26,62123.28,
NCL2015-0075,5694156.41,546030.68,546030.68,0.0959,0.0959,60063.38,62793.53,57333.22,62793.53,
NCL2015-0075,5699984.62,551858.89,551858.89,0.0968,0.0968,60704.48,63463.77,57945.18,63463.77,
NCL2015-0075,5705812.82,557687.09,557687.09,0.0977,0.0977,61345.58,64134.02,58557.14,64134.02,
NCL2015-0075,5711641.03,563515.30,563515.30,0.0987,0.0987,61986.68,64804.26,59169.11,64804.26,
NCL2015-0075,5717469.23,569343.50,569343.50,0.0996,0.0996,62627.79,65474.50,59781.07,65474.50,
NCL2015-0075,5723297.44,575171.71,575171.71,0.1005,0.1005,74772.32,80524.04,69020.60,74772.32,
NCL2015-0075,5729125.64,580999.91,580999.91,0.1014,0.1014,75529.99,81339.99,69719.99,75529.99,
NCL2015-0075,5734953.85,586828.12,586828.12,0.1023,0.1023,76287.66,82155.94,70419.37,76287.66,
NCL2015-0075,5740782.05,592656.32,592656.32,0.1032,0.1032,77045.32,82971.89,71118.76,77045.32,
NCL2015-0075,5746610.26,598484.53,598484.53,0.1041,0.1041,77802.99,83787.83,71818.14,77802.99,
NCL2015-0075,5752438.46,604312.73,604312.73,0.1051,0.1051,78560.66,84603.78,72517.53,78560.66,
NCL2015-0075,5758266.67,610140.94,610140.94,0.1060,0.1060,79318.32,85419.73,73216.91,79318.32,
NCL2015-0075,5764094.87,615969.14,615969.14,0.1069,0.1069,80075.99,86235.68,73916.30,80075.99,
NCL2015-0075,5769923.08,621797.35,621797.35,0.1078,0.1078,80833.66,87051.63,74615.68,80833.66,
NCL2015-0075,5775751.28,627625.55,627625.55,0.1087,0.1087,81591.32,87867.58,75315.07,81591.32,
NCL2015-0075,5781579.49,633453.76,633453.76,0.1096,0.1096,82348.99,88683.53,76014.45,82348.99,
NCL2015-0075,5787407.69,639281.96,639281.96,0.1105,0.1105,83106.66,89499.47,76713.84,83106.66,
NCL2015-0075,5793235.90,645110.17,645110.17,0.1114,0.1114,83864.32,90315.42,77413.22,83864.32,
NCL2015-0075,5799064.10,650938.37,650938.37,0.1122,0.1122,84621.99,91131.37,78112.60,84621.99,
NCL2015-0075,5804892.31,656766.58,656766.58,0.1131,0.1131,85379.66,91947.32,78811.99,85379.66,
NCL2015-0075,5810720.51,662594.78,662594.78,0.1140,0.1140,86137.32,92763.27,79511.37,86137.32,
NCL2015-0075,5816548.72,668422.99,668422.99,0.1149,0.1149,86894.99,93579.22,80210.76,86894.99,
NCL2015-0075,5822376.92,674251.19,674251.19,0.1158,0.1158,87652.66,94395.17,80910.14,87652.66,
NCL2015-0075,5828205.13,680079.40,680079.40,0.1167,0.1167,88410.32,95211.12,81609.53,88410.32,
NCL2015-0075,5834033.34,685907.61,685907.61,0.1176,0.1176,89167.99,96027.06,82308.91,89167.99,
NCL2015-0075,5839861.54,691735.81,691735.81,0.1185,0.1185,89925.66,96843.01,83008.30,89925.66,
NCL2015-0075,5845689.75,697564.02,697564.02,0.1193,0.1193,90683.32,97658.96,83707.68,90683.32,
NCL2015-0075,5851517.95,703392.22,703392.22,0.1202,0.1202,91440.99,98474.91,84407.07,91440.99,
NCL2015-0075,5857346.16,709220.43,709220.43,0.1211,0.1211,92198.66,99290.86,85106.45,92198.66,
NCL2015-0075,5863174.36,715048.63,715048.63,0.1220,0.1220,92956.32,100106.81,85805.84,92956.32,
NCL2015-0075,5869002.57,720876.84,720876.84,0.1228,0.1228,93713.99,100922.76,86505.22,93713.99,
NCL2015-0075,5874830.77,726705.04,726705.04,0.1237,0.1237,94471.66,101738.71,87204.60,94471.66,
NCL2015-0075,5880658.98,732533.25,732533.25,0.1246,0.1246,95229.32,102554.65,87903.99,95229.32,
NCL2015-0075,5886487.18,738361.45,738361.45,0.1254,0.1254,95986.99,103370.60,88603.37,95986.99,
NCL2015-0075,5892315.39,744189.66,744189.66,0.1263,0.1263,96744.66,104186.55,89302.76,96744.66,
NCL2015-0075,5898143.59,750017.86,750017.86,0.1272,0.1272,97502.32,105002.50,90002.14,97502.32,
NCL2015-0075,5903971.80,755846.07,755846.07,0.1280,0.1280,98259.99,105818.45,90701.53,98259.99,
NCL2015-0075,5909800.00,761674.27,761674.27,0.1289,0.1289,99017.66,106634.40,91400.91,99017.66,
NCL2015-0075,5915628.21,767502.48,767502.48,0.1297,0.1297,99775.32,107450.35,92100.30,99775.32,
NCL2015-0075,5921456.41,773330.68,773330.68,0.1306,0.1306,100532.99,108266.30,92799.68,100532.99,
NCL2015-0075,5927284.62,779158.89,779158.89,0.1315,0.1315,101290.66,109082.24,93499.07,101290.66,
NCL2015-0075,5933112.82,784987.09,784987.09,0.1323,0.1323,102048.32,109898.19,94198.45,102048.32,
NCL2015-0075,5938941.03,790815.30,790815.30,0.1332,0.1332,102805.99,110714.14,94897.84,102805.99,
NCL2015-0075,5944769.23,796643.50,796643.50,0.1340,0.1340,103563.66,111530.09,95597.22,103563.66,
NCL2015-0075,5950597.44,802471.71,802471.71,0.1349,0.1349,104321.32,112346.04,96296.60,104321.32,
NCL2015-0075,5956425.64,808299.91,808299.91,0.1357,0.1357,105078.99,113161.99,96995.99,105078.99,
NCL2015-0075,5962253.85,814128.12,814128.12,0.1365,0.1365,105836.66,113977.94,97695.37,105836.66,
