contract,MP,GM1%,GM2%,origin_bonus,SPC_A,SPC_B,SPC_C,SPC_D
NCL2015-0075,5828205.13,0.1167,0.1167,68612.82,88410.32,95211.12,81609.53,88410.32,
NCL2016-047,1307692.31,0.1808,0.1178,16961.54,20025.43,21565.85,18485.02,20025.43,
NCL2015-0361,6219555.33,0.1990,0.1866,179853.16,174077.76,191485.54,174077.76,174077.76,
NCL2015-0317,145393.16,0.2423,0.2247,2397.90,6534.84,6534.84,6534.84,6534.84,
NCL2015-0041,58405.13,0.2594,0.2418,256.13,2824.74,2824.74,2824.74,2824.74,
NCL2015-0022,574040.38,0.2700,0.2525,2430.50,28983.53,28983.53,28983.53,28983.53,
NCL2015-0008,97077.44,0.2755,0.2580,379.28,5008.49,5008.49,5008.49,5008.49,
NCL2015-0075-1,58974.36,0.2765,0.2765,258.97,3261.49,3261.49,3261.49,3261.49,
NCL2016-137,330662.62,0.2803,0.2025,1264.98,13389.88,13389.88,13389.88,13389.88,
NCL2015-0059,1161831.62,0.2892,0.2729,7271.12,63407.01,63407.01,63407.01,63407.01,
NCL2015-0371,68726.50,0.2896,0.2896,0.00,3980.99,3980.99,3980.99,3980.99,
NCL2015-0218,25726.50,0.2926,0.2926,771.79,1505.42,1505.42,1505.42,1505.42,
NCL2014-367,193076.92,0.3092,0.3092,3400.00,14925.64,14925.64,14925.64,14925.64,
NCL2015-0178,932341.88,0.3136,0.3136,12350.87,73105.59,73105.59,73105.59,73105.59,
NCL2016-122,323076.92,0.3146,0.2477,1292.00,16006.15,16006.15,16006.15,16006.15,
NCL2015-0222,200000.00,0.3294,0.3294,856.41,16471.80,16471.80,16471.80,16471.80,
NCL2014-746,1010256.41,0.3430,0.3262,6730.77,82382.83,82382.83,82382.83,82382.83,
NCL2015-0344,19509.98,0.3473,0.3297,58.53,1608.13,1608.13,1608.13,1608.13,
NCL2015-0216,38136.75,0.3492,0.3492,3988.89,3329.65,3329.65,3329.65,3329.65,
NCL2015-0094,27179.49,0.3621,0.3621,0.00,2460.49,2460.49,2460.49,2460.49,
NCL2014-724,410940.17,0.3628,0.2942,3526.92,24179.49,24179.49,24179.49,24179.49,
NCL2015-0208,47564.10,0.3642,0.3642,2378.21,4330.84,4330.84,4330.84,4330.84,
NCL2015-0004,555555.56,0.3669,0.2285,35470.09,25383.82,25383.82,25383.82,25383.82,
NCL2015-0283,138639.00,0.3691,0.3691,7242.43,12794.18,12794.18,12794.18,12794.18,
NCL2015-0198,1880606.84,0.3707,0.3542,29975.15,166528.06,166528.06,166528.06,166528.06,
NCL2014-760,1836345.30,0.3846,0.3846,15375.41,176563.25,176563.25,176563.25,176563.25,
NCL2014-399,364102.56,0.3973,0.1931,11200.00,10545.00,11599.50,10545.00,10545.00,
NCL2015-0069,23846.13,0.3979,0.3979,0.00,2372.10,2372.10,2372.10,2372.10,
NCL2015-0020,1938461.54,0.4099,0.1188,4307.69,29926.65,32228.70,27624.60,29926.65,
NCL2015-0019,2261538.46,0.4141,0.1250,5025.64,36762.65,39590.55,33934.75,36762.65,
NCL2016-019,2261538.46,0.4141,0.1250,5025.64,36762.65,39590.55,33934.75,36762.65,
NCL2015-0284,28641.37,0.4318,0.4143,85.92,2966.30,2966.30,2966.30,2966.30,
NCL2015-0239,132051.28,0.4530,0.4530,16602.56,14955.13,14955.13,14955.13,14955.13,
NCL2015-0057,484615.38,0.4719,0.1957,1076.92,14229.23,15652.15,14229.23,14229.23,
NCL2014-750,1173316.24,0.4745,0.4511,13177.44,132318.39,132318.39,132318.39,132318.39,
NCL2014-707,713675.21,0.4975,0.3712,13905.95,66237.39,66237.39,66237.39,66237.39,
NCL2015-0388,29487.18,0.5130,0.5130,0.00,3781.58,3781.58,3781.58,3781.58,
NCL2015-0399,38461.54,0.5254,0.5254,8151.78,5052.33,5052.33,5052.33,5052.33,
NCL2014-727,1216500.00,0.5322,0.5322,37951.41,161869.36,161869.36,161869.36,161869.36,
NCL2015-0051,61538.46,0.5398,0.5398,12307.69,8305.13,8305.13,8305.13,8305.13,
NCL2015-0117,256410.26,0.5398,0.5398,51282.05,34604.70,34604.70,34604.70,34604.70,
NCL2016-093,18405.98,0.5473,0.5473,4365.15,2518.48,2518.48,2518.48,2518.48,
NCL2014-394,1683589.74,0.6156,0.2553,13569.23,85954.10,85954.10,85954.10,85954.10,
NCL2014-482,2512820.51,0.6658,0.1066,28574.36,34822.67,37501.33,32144.00,34822.67,
NCL2015-0087,56538.46,0.6750,0.6750,0.00,9540.75,9540.75,9540.75,9540.75,
NCL2015-0065,799743.59,0.7436,0.2839,2230.77,45410.28,45410.28,45410.28,45410.28,
