contract,gm1%,spc2014,spc2016,spc-new
NCL2014-500,5.06,36477.95,28575.21,57150.43
NCL2014-500,5.15,37623.25,28603.85,57207.69
NCL2014-500,5.25,38768.55,28632.48,57264.96
NCL2014-500,5.34,39913.85,28661.11,57322.22
NCL2014-500,5.44,41059.14,28689.74,57379.49
NCL2014-500,5.53,42204.44,28718.38,57436.75
NCL2014-500,5.62,43349.74,28747.01,57494.02
NCL2014-500,5.72,44495.04,28775.64,57551.28
NCL2014-500,5.81,45640.34,28804.27,57608.55
NCL2014-500,5.90,46785.64,28832.91,57665.81
NCL2014-500,6.00,47930.94,28861.54,57723.08
NCL2014-500,6.09,49076.24,28890.17,57780.34
NCL2014-500,6.18,50221.54,28918.80,57837.61
NCL2014-500,6.28,51366.84,28947.44,57894.87
NCL2014-500,6.37,52512.14,28976.07,57952.14
NCL2014-500,6.46,53657.43,29004.70,58009.40
NCL2014-500,6.55,54802.73,29033.33,58066.67
NCL2014-500,6.65,55948.03,29061.97,58123.93
NCL2014-500,6.74,57093.33,29090.60,58181.20
NCL2014-500,6.83,58238.63,29119.23,58238.46
NCL2014-500,6.92,59383.93,29147.86,58295.73
NCL2014-500,7.01,60529.23,29176.50,58352.99
NCL2014-500,7.10,61674.53,29205.13,58410.26
NCL2014-500,7.20,62819.83,29233.76,58467.52
NCL2014-500,7.29,63965.13,29262.39,58524.79
NCL2014-500,7.38,65110.43,29291.03,58582.05
NCL2014-500,7.47,66255.73,29319.66,58639.32
NCL2014-500,7.56,67401.02,29348.29,58696.58
NCL2014-500,7.65,68546.32,29376.92,58753.85
NCL2014-500,7.74,69691.62,29405.56,58811.11
NCL2014-500,7.83,70836.92,29434.19,58868.38
NCL2014-500,7.92,71982.22,29462.82,58925.64
NCL2014-500,8.01,73127.52,58982.91,88474.36
NCL2014-500,8.10,74272.82,59040.17,88560.26
NCL2014-500,8.18,75418.12,59097.44,88646.15
NCL2014-500,8.27,76563.42,59154.70,88732.05
NCL2014-500,8.36,77708.72,59211.97,88817.95
NCL2014-500,8.45,78854.02,59269.23,88903.85
NCL2014-500,8.54,79999.32,59326.50,88989.74
NCL2014-500,8.63,81144.61,59383.76,89075.64
NCL2014-500,8.71,82289.91,59441.03,89161.54
NCL2014-500,8.80,83435.21,59498.29,89247.44
NCL2014-500,8.89,84580.51,59555.56,89333.33
NCL2014-500,8.98,85725.81,59612.82,89419.23
NCL2014-500,9.07,86871.11,59670.09,89505.13
NCL2014-500,9.15,88016.41,59727.35,89591.03
NCL2014-500,9.24,89161.71,59784.62,89676.92
NCL2014-500,9.33,90307.01,59841.88,89762.82
NCL2014-500,9.41,91452.31,59899.15,89848.72
NCL2014-500,9.50,92597.61,59956.41,89934.62
NCL2014-500,9.59,93742.91,60013.68,90020.51
NCL2014-500,9.67,94888.20,60070.94,90106.41
NCL2014-500,9.76,96033.50,60128.21,90192.31
NCL2014-500,9.84,97178.80,60185.47,90278.21
NCL2014-500,9.93,98324.10,60242.74,90364.10
NCL2014-500,10.02,99469.40,90450.00,120600.00
NCL2014-500,10.10,100614.70,90535.90,120714.53
NCL2014-500,10.19,101760.00,90621.79,120829.06
NCL2014-500,10.27,102905.30,90707.69,120943.59
NCL2014-500,10.36,104050.60,90793.59,121058.12
NCL2014-500,10.44,105195.90,90879.49,121172.65
NCL2014-500,10.53,106341.20,90965.38,121287.18
NCL2014-500,10.61,107486.49,91051.28,121401.71
NCL2014-500,10.69,108631.79,91137.18,121516.24
NCL2014-500,10.78,109777.09,91223.08,121630.77
NCL2014-500,10.86,110922.39,91308.97,121745.30
NCL2014-500,10.95,112067.69,91394.87,121859.83
NCL2014-500,11.03,113212.99,91480.77,121974.36
NCL2014-500,11.11,114358.29,91566.67,122088.89
NCL2014-500,11.20,115503.59,91652.56,122203.42
NCL2014-500,11.28,116648.89,91738.46,122317.95
NCL2014-500,11.36,117794.19,91824.36,122432.48
NCL2014-500,11.44,118939.49,91910.26,122547.01
NCL2014-500,11.53,120084.79,91996.15,122661.54
NCL2014-500,11.61,121230.08,92082.05,122776.07
NCL2014-500,11.69,122375.38,92167.95,122890.60
NCL2014-500,11.77,154400.85,92253.85,123005.13
NCL2014-500,11.86,155832.48,92339.74,123119.66
NCL2014-500,11.94,157264.10,92425.64,123234.19
NCL2014-500,12.02,158695.73,92511.54,123348.72
NCL2014-500,12.10,160127.35,92597.44,123463.25
NCL2014-500,12.18,161558.97,92683.33,123577.78
NCL2014-500,12.26,162990.60,92769.23,123692.31
NCL2014-500,12.35,164422.22,92855.13,123806.84
NCL2014-500,12.43,165853.84,92941.03,123921.37
NCL2014-500,12.51,167285.47,93026.92,124035.90
NCL2014-500,12.59,168717.09,93112.82,124150.43
NCL2014-500,12.67,170148.72,93198.72,124264.96
NCL2014-500,12.75,171580.34,93284.62,124379.49
NCL2014-500,12.83,173011.96,93370.51,124494.02
NCL2014-500,12.91,174443.59,93456.41,124608.55
NCL2014-500,12.99,175875.21,93542.31,124723.08
NCL2014-500,13.07,177306.84,93628.21,124837.61
NCL2014-500,13.15,178738.46,93714.10,124952.14
NCL2014-500,13.23,180170.08,93800.00,125066.67
NCL2014-500,13.31,181601.71,93885.90,125181.20
NCL2014-500,13.39,183033.33,93971.79,125295.73
NCL2014-500,13.47,184464.96,94057.69,125410.26
NCL2014-500,13.55,185896.58,94143.59,125524.79
NCL2014-500,13.62,187328.20,94229.49,125639.32
NCL2014-500,13.70,188759.83,94315.38,125753.85
NCL2014-500,13.78,190191.45,94401.28,125868.38
NCL2014-500,13.86,191623.08,94487.18,125982.91
NCL2014-500,13.94,193054.70,94573.08,126097.44
NCL2014-500,14.02,194486.32,94658.97,126211.97
NCL2014-500,14.09,195917.95,94744.87,126326.50
NCL2014-500,14.17,197349.57,94830.77,126441.03
NCL2014-500,14.25,198781.20,94916.67,126555.56
NCL2014-500,14.33,200212.82,95002.56,126670.09
NCL2014-500,14.40,201644.44,95088.46,126784.62
NCL2014-500,14.48,203076.07,95174.36,126899.15
NCL2014-500,14.56,204507.69,95260.26,127013.68
NCL2014-500,14.64,205939.32,95346.15,127128.21
NCL2014-500,14.71,207370.94,95432.05,127242.74
NCL2014-500,14.79,208802.56,95517.95,127357.27
NCL2014-500,14.87,210234.19,95603.85,127471.79
NCL2014-500,14.94,211665.81,95689.74,127586.32
NCL2014-500,15.02,213097.43,159626.07,191551.28
NCL2014-500,15.10,214529.06,159769.23,191723.08
NCL2014-500,15.17,215960.68,159912.39,191894.87
NCL2014-500,15.25,217392.31,160055.56,192066.67
NCL2014-500,15.32,218823.93,160198.72,192238.46
NCL2014-500,15.40,220255.55,160341.88,192410.26
NCL2014-500,15.47,221687.18,160485.04,192582.05
NCL2014-500,15.55,223118.80,160628.21,192753.85
NCL2014-500,15.62,224550.43,160771.37,192925.64
NCL2014-500,15.70,225982.05,160914.53,193097.44
NCL2014-500,15.77,227413.67,161057.69,193269.23
NCL2014-500,15.85,228845.30,161200.85,193441.03
NCL2014-500,15.92,230276.92,161344.02,193612.82
NCL2014-500,16.00,231708.55,161487.18,193784.62
NCL2014-500,16.07,233140.17,161630.34,193956.41
NCL2014-500,16.15,234571.79,161773.50,194128.21
NCL2014-500,16.22,236003.42,161916.67,194300.00
NCL2014-500,16.30,237435.04,162059.83,194471.79
NCL2014-500,16.37,238866.67,162202.99,194643.59
NCL2014-500,16.44,240298.29,162346.15,194815.38
NCL2014-500,16.52,241729.91,162489.32,194987.18
NCL2014-500,16.59,243161.54,162632.48,195158.97
NCL2014-500,16.66,244593.16,162775.64,195330.77
NCL2014-500,16.74,246024.79,162918.80,195502.56
NCL2014-500,16.81,247456.41,163061.97,195674.36
NCL2014-500,16.88,248888.03,163205.13,195846.15
NCL2014-500,16.96,250319.66,163348.29,196017.95
NCL2014-500,17.03,251751.28,163491.45,196189.74
NCL2014-500,17.10,253182.90,163634.62,196361.54
NCL2014-500,17.17,254614.53,163777.78,196533.33
NCL2014-500,17.25,256046.15,163920.94,196705.13
NCL2014-500,17.32,257477.78,164064.10,196876.92
NCL2014-500,17.39,258909.40,164207.27,197048.72
NCL2014-500,17.46,260341.02,164350.43,197220.51
NCL2014-500,17.53,261772.65,164493.59,197392.31
NCL2014-500,17.61,263204.27,164636.75,197564.10
NCL2014-500,17.68,264635.90,164779.91,197735.90
NCL2014-500,17.75,266067.52,164923.08,197907.69
NCL2014-500,17.82,267499.14,165066.24,198079.49
NCL2014-500,17.89,268930.77,165209.40,198251.28
NCL2014-500,17.96,270362.39,165352.56,198423.08
NCL2014-500,18.03,271794.02,165495.73,198594.87
NCL2014-500,18.10,273225.64,165638.89,198766.67
NCL2014-500,18.17,274657.26,165782.05,198938.46
NCL2014-500,18.25,276088.89,165925.21,199110.26
NCL2014-500,18.32,277520.51,166068.38,199282.05
NCL2014-500,18.39,278952.14,166211.54,199453.85
NCL2014-500,18.46,280383.76,166354.70,199625.64
NCL2014-500,18.53,281815.38,166497.86,199797.44
NCL2014-500,18.60,283247.01,166641.03,199969.23
NCL2014-500,18.67,284678.63,166784.19,200141.03
NCL2014-500,18.74,286110.26,166927.35,200312.82
NCL2014-500,18.81,287541.88,167070.51,200484.62
NCL2014-500,18.88,288973.50,167213.68,200656.41
NCL2014-500,18.94,290405.13,167356.84,200828.21
NCL2014-500,19.01,291836.75,167500.00,201000.00
NCL2014-500,19.08,293268.37,167643.16,201171.79
NCL2014-500,19.15,294700.00,167786.32,201343.59
NCL2014-500,19.22,296131.62,167929.49,201515.38
NCL2014-500,19.29,297563.25,168072.65,201687.18
NCL2014-500,19.36,298994.87,168215.81,201858.97
NCL2014-500,19.43,300426.49,168358.97,202030.77
NCL2014-500,19.50,301858.12,168502.14,202202.56
NCL2014-500,19.56,303289.74,168645.30,202374.36
NCL2014-500,19.63,304721.37,168788.46,202546.15
NCL2014-500,19.70,306152.99,168931.62,202717.95
NCL2014-500,19.77,307584.61,169074.79,202889.74
NCL2014-500,19.84,309016.24,169217.95,203061.54
NCL2014-500,19.90,310447.86,169361.11,203233.33
